id, nombre, plantel, Turno, estacion, puntajeEstacion,Llegada,Salida
27,Furia Manzanera ,29 Canatlán,Matutino,Artes,12,,
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Artes,11,,
29,LOBOS,32 Juana Villalobos,Matutino,Artes,13,,
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Artes,11,,
30,Halcones,32 Juana Villalobos,Vespertino,Artes,11,,
31,Titanes,33 Pino Suárez,vespertino,Artes,11,,
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Artes,14,,
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Artes,0,,
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Artes,14,,
4,En proceso,05 Bermejillo,Matutino,Artes,13,,
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Artes,14,,
6,Campobellos en movimiento,07 Villa Ocampo,Matutino,Artes,14,,
7,Escuadron respeto y victoria,08 Nazas,Matutino,Artes,10,,
8,Pumas 09,09 Lomas,Matutino,Artes,14,,
9,CORCELES DEL SABER  ,09 Lomas,Vespertino,Artes,14,,
10,Guerreros Pinioleros,10 Santiago Papasquiaro,Matutino,Humanidades,85,10:10:00 a. m.,10:55:00 a. m.
11,Papas Kiali Papali,10 Santiago Papasquiaro,Vespertino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Humanidades,90,10:10:00 a. m.,10:55:00 a. m.
13,Apex Ducks,12 Nuevo Ideal,Matutino,Humanidades,80,10:10:00 a. m.,10:55:00 a. m.
14,Impacto 13 ,13 Tamazula,Matutino,Humanidades,80,10:10:00 a. m.,10:55:00 a. m.
15,LOS GUARDIANES DEL DESIERTO,14 San Juan De Guadalupe,Matutino,Humanidades,85,10:10:00 a. m.,10:55:00 a. m.
16,MENTES NOCTURNAS ,15 San Miguel De Cruces,Matutino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
17,"Coba 16, Mente y Talento ",16 Tayoltita,Matutino,Humanidades,60,10:10:00 a. m.,10:55:00 a. m.
18,Tribu Invencible Mezquital,17 Mezquital,Matutino,Humanidades,80,10:10:00 a. m.,10:55:00 a. m.
19,O’dam Tasai,18 Antonio Amaro,Matutino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
1,ALQUIMISTAS ,01 La Forestal,Matutino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
20,JILGUEROS DEL ARROYO,19 Santa Clara,Matutino,Humanidades,90,10:10:00 a. m.,10:55:00 a. m.
21,Guerreros ,20 Guadalupe Victoria,Matutino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
22,Corceles de fuego ,22 Santa Ma. Del Oro,Matutino,Humanidades,90,10:10:00 a. m.,10:55:00 a. m.
23,Tusas mineras,23 Coneto de Comonfort,Matutino,Humanidades,85,10:10:00 a. m.,10:55:00 a. m.
24,Coyotes,24 Simón Bolívar,Matutino,Humanidades,85,10:10:00 a. m.,10:55:00 a. m.
25,ESCUADRÓN 27,27 Vicente Guerrero,Matutino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
26,TUKURA,28 El Salto,Matutino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
27,Furia Manzanera ,29 Canatlán,Matutino,Humanidades,90,10:10:00 a. m.,10:55:00 a. m.
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Humanidades,85,10:10:00 a. m.,10:55:00 a. m.
29,LOBOS,32 Juana Villalobos,Matutino,Humanidades,90,10:10:00 a. m.,10:55:00 a. m.
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
30,Halcones,32 Juana Villalobos,Vespertino,Humanidades,70,10:10:00 a. m.,10:55:00 a. m.
31,Titanes,33 Pino Suárez,vespertino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Humanidades,95,10:10:00 a. m.,10:55:00 a. m.
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Humanidades,70,10:10:00 a. m.,10:55:00 a. m.
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Humanidades,75,10:10:00 a. m.,10:55:00 a. m.
