id, nombre, plantel, Turno, estacion, puntajeEstacion,Llegada,Salida
21,Guerreros ,20 Guadalupe Victoria,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
22,Corceles de fuego ,22 Santa Ma. Del Oro,Matutino,Orientación,90,10:10:00 a. m.,10:55:00 a. m.
23,Tusas mineras,23 Coneto de Comonfort,Matutino,Orientación,80,10:10:00 a. m.,10:55:00 a. m.
24,Coyotes,24 Simón Bolívar,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
25,ESCUADRÓN 27,27 Vicente Guerrero,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
26,TUKURA,28 El Salto,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
27,Furia Manzanera ,29 Canatlán,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
29,LOBOS,32 Juana Villalobos,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Orientación,90,10:10:00 a. m.,10:55:00 a. m.
30,Halcones,32 Juana Villalobos,Vespertino,Orientación,90,10:10:00 a. m.,10:55:00 a. m.
31,Titanes,33 Pino Suárez,vespertino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Orientación,80,10:10:00 a. m.,10:55:00 a. m.
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
4,En proceso,05 Bermejillo,Matutino,Orientación,80,10:10:00 a. m.,10:55:00 a. m.
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Orientación,100,10:10:00 a. m.,10:55:00 a. m.
6,Campobellos en movimiento,07 Villa Ocampo,Matutino,Orientación,90,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Orientación,90,10:10:00 a. m.,10:55:00 a. m.
8,Pumas 09,09 Lomas,Matutino,Orientación,90,10:10:00 a. m.,10:55:00 a. m.
9,CORCELES DEL SABER  ,09 Lomas,Vespertino,Orientación,90,10:10:00 a. m.,10:55:00 a. m.
10,Guerreros Pinioleros,10 Santiago Papasquiaro,Matutino,Inglés,90,10:10:00 a. m.,10:55:00 a. m.
11,Papas Kiali Papali,10 Santiago Papasquiaro,Vespertino,Inglés,80,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Inglés,90,10:10:00 a. m.,10:55:00 a. m.
13,Apex Ducks,12 Nuevo Ideal,Matutino,Inglés,90,10:10:00 a. m.,10:55:00 a. m.
14,Impacto 13 ,13 Tamazula,Matutino,Inglés,50,10:10:00 a. m.,10:55:00 a. m.
15,LOS GUARDIANES DEL DESIERTO,14 San Juan De Guadalupe,Matutino,Inglés,75,10:10:00 a. m.,10:55:00 a. m.
16,MENTES NOCTURNAS ,15 San Miguel De Cruces,Matutino,Inglés,29,10:10:00 a. m.,10:55:00 a. m.
17,"Coba 16, Mente y Talento ",16 Tayoltita,Matutino,Inglés,22,10:10:00 a. m.,10:55:00 a. m.
18,Tribu Invencible Mezquital,17 Mezquital,Matutino,Inglés,90,10:10:00 a. m.,10:55:00 a. m.
19,O’dam Tasai,18 Antonio Amaro,Matutino,Inglés,75,10:10:00 a. m.,10:55:00 a. m.
1,ALQUIMISTAS ,01 La Forestal,Matutino,Inglés,90,10:10:00 a. m.,10:55:00 a. m.
20,JILGUEROS DEL ARROYO,19 Santa Clara,Matutino,Inglés,98,10:10:00 a. m.,10:55:00 a. m.
21,Guerreros ,20 Guadalupe Victoria,Matutino,Inglés,65,10:10:00 a. m.,10:55:00 a. m.
22,Corceles de fuego ,22 Santa Ma. Del Oro,Matutino,Inglés,90,10:10:00 a. m.,10:55:00 a. m.
23,Tusas mineras,23 Coneto de Comonfort,Matutino,Inglés,49,10:10:00 a. m.,10:55:00 a. m.
24,Coyotes,24 Simón Bolívar,Matutino,Inglés,80,10:10:00 a. m.,10:55:00 a. m.
25,ESCUADRÓN 27,27 Vicente Guerrero,Matutino,Inglés,86,10:10:00 a. m.,10:55:00 a. m.
26,TUKURA,28 El Salto,Matutino,Inglés,90,10:10:00 a. m.,10:55:00 a. m.
27,Furia Manzanera ,29 Canatlán,Matutino,Inglés,80,10:10:00 a. m.,10:55:00 a. m.
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Inglés,90,10:10:00 a. m.,10:55:00 a. m.
29,LOBOS,32 Juana Villalobos,Matutino,Inglés,59,10:10:00 a. m.,10:55:00 a. m.
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Inglés,70,10:10:00 a. m.,10:55:00 a. m.
30,Halcones,32 Juana Villalobos,Vespertino,Inglés,71,10:10:00 a. m.,10:55:00 a. m.
31,Titanes,33 Pino Suárez,vespertino,Inglés,47,10:10:00 a. m.,10:55:00 a. m.
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Inglés,67,10:10:00 a. m.,10:55:00 a. m.
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Inglés,26,10:10:00 a. m.,10:55:00 a. m.
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Inglés,76,10:10:00 a. m.,10:55:00 a. m.
4,En proceso,05 Bermejillo,Matutino,Inglés,90,10:10:00 a. m.,10:55:00 a. m.
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Inglés,60,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Inglés,95,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Inglés,70,10:10:00 a. m.,10:55:00 a. m.
8,Pumas 09,09 Lomas,Matutino,Inglés,60,10:10:00 a. m.,10:55:00 a. m.
9,CORCELES DEL SABER  ,09 Lomas,Vespertino,Inglés,41,10:10:00 a. m.,10:55:00 a. m.
10,Guerreros Pinioleros,10 Santiago Papasquiaro,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
11,Papas Kiali Papali,10 Santiago Papasquiaro,Vespertino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Lengua y Comunicación,70,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Lengua y Comunicación,70,10:10:00 a. m.,10:55:00 a. m.
14,Impacto 13 ,13 Tamazula,Matutino,Lengua y Comunicación,70,10:10:00 a. m.,10:55:00 a. m.
15,LOS GUARDIANES DEL DESIERTO,14 San Juan De Guadalupe,Matutino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
17,"Coba 16, Mente y Talento ",16 Tayoltita,Matutino,Lengua y Comunicación,60,10:10:00 a. m.,10:55:00 a. m.
18,Tribu Invencible Mezquital,17 Mezquital,Matutino,Lengua y Comunicación,70,10:10:00 a. m.,10:55:00 a. m.
19,O’dam Tasai,18 Antonio Amaro,Matutino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
1,ALQUIMISTAS ,01 La Forestal,Matutino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
20,JILGUEROS DEL ARROYO,19 Santa Clara,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
20,JILGUEROS DEL ARROYO,19 Santa Clara,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
22,Corceles de fuego ,22 Santa Ma. Del Oro,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
23,Tusas mineras,23 Coneto de Comonfort,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
24,Coyotes,24 Simón Bolívar,Matutino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
25,ESCUADRÓN 27,27 Vicente Guerrero,Matutino,Lengua y Comunicación,80,10:10:00 a. m.,10:55:00 a. m.
26,TUKURA,28 El Salto,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
27,Furia Manzanera ,29 Canatlán,Matutino,Lengua y Comunicación,80,10:10:00 a. m.,10:55:00 a. m.
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
29,LOBOS,32 Juana Villalobos,Matutino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
30,Halcones,32 Juana Villalobos,Vespertino,Lengua y Comunicación,60,10:10:00 a. m.,10:55:00 a. m.
31,Titanes,33 Pino Suárez,vespertino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Lengua y Comunicación,50,10:10:00 a. m.,10:55:00 a. m.
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
4,En proceso,05 Bermejillo,Matutino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Lengua y Comunicación,70,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
8,Pumas 09,09 Lomas,Matutino,Lengua y Comunicación,90,10:10:00 a. m.,10:55:00 a. m.
9,CORCELES DEL SABER  ,09 Lomas,Vespertino,Lengua y Comunicación,100,10:10:00 a. m.,10:55:00 a. m.
